index	name	station	fc	amplitude	type	basin	wtype	magnitude	depth	latitude	longitude	azimuth	slatitude	slongitude	PGAtoth	PGAtotv	PGVtoth	PGVtotv	PGDtoth	PGDtotv	RMSh	RMSv	CAVh	CAVv	Ecumh	Ecumv	t_5_95h_1	t_5_95h_2	t_5_95v_1	t_5_95v_2	Tdh	Tdv	ariash	ariasv	PredPSa_h	PredPeriod_h	SI_h	PredPSa_v	SI_v	PredPSa_hw	PredPeriod_hw	SI_hw	PredPSa_vw	PredPeriod_vw	SI_vw	Tmh	Fmh	Tmv	Fmv	Peak Period controlled by	PSa difference	SI difference
12084	2011_03_11	KNG005	0.17	0.64	Pro	Kanto	Rayleigh	6.1	27	37.42	141.32	4.394	35.32	139.55	15.64284933	8.366617778	5.6310154	3.201694467	4.26164963	1.95230414	1.788324531	1.023078952	354.4979113	209.0586373	1341.764797	439.139017	106.05	218.1	98.4	208.65	112.2	110.4	214.8459953	70.3157956	75.283484	2.15	86.84085457	34.51271217	50.07695369	88.80809071	2.21	105.0314531	36.60459311	1.48	55.64711724	1.93003968	0.653325913	1.623353201	0.8074848	Body	13.52460671	1.209470515
11194	1999_10_16	14869	0.28	0.77	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.091	33.82	118.11	15.64321185	5.084510557	10.98396014	2.557878069	11.3308408	1.96038843	3.527003671	0.760853829	407.861204	83.10985514	2742.96601	127.6471327	69.33333333	137.1666667	72.5	138.3333333	68.00000001	66	439.2090655	20.43910777	68.56802079	2.18	93.85509312	15.7923565	22.44110727	70.05851955	2.18	95.44663932	17.18554179	2.06	26.03238338	1.870631541	0.754814684	2.088939038	0.657537041	Body	1.490498762	1.016957484
11180	1999_10_16	14824	0.24	0.86	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.194	33.87	118.29	15.70341933	4.184377393	11.29634425	2.206293556	12.10337174	1.67969662	2.688994237	0.82742225	283.9905954	93.53179253	1594.367178	150.9603842	67.83333333	123.8333333	72.5	137.3333333	56.16666667	65	255.2931811	24.17207105	50.09755765	1.22	74.00169423	15.48321035	24.82254763	55.10260647	1.29	86.00713073	16.70989297	2.21	26.64231638	1.710144786	0.822748278	1.860539447	0.727733732	Surface	5.005048815	1.162231914
11862	Tohoku	AIC003	0.12	0.62	Ret	Nagoya	Rayleigh	9	24	38.1	142.86	4.596	35.17	136.74	15.75426622	5.920243556	6.310179933	3.082503067	6.46019771	4.93242962	2.222982379	0.842060926	617.4328701	225.7235057	2651.442659	380.4496857	161.55	322.5	179.4	302.55	161.1	123.3	424.5541682	60.91834544	58.38322247	2.57	87.92762087	27.63928703	34.35759909	57.89202044	2.57	89.5948576	29.48844602	2.54	34.8531838	2.037860716	0.614770831	2.22714464	0.518712955	Body	-0.491202033	1.018961468
11178	1999_10_16	14821	0.19	0.42	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.482	33.97	118.29	16.07954048	5.271830789	6.967494521	1.535078129	8.06387832	1.36500284	2.594901744	0.696349197	248.7968277	66.48551579	1350.069796	97.22289381	65.83333333	120.1666667	66.83333333	127	54.50000001	60.33333334	216.175808	15.56751931	53.4801815	0.63	74.4737499	17.27412479	20.2199271	53.63830055	0.56	86.25746141	17.40201394	0.91	25.50350699	1.298300233	1.107313353	1.445414992	1.047532876	Body	0.158119051	1.158226375
11187	1999_10_16	14834	0.13	0.33	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.3	33.92	118.33	16.23375907	3.695724932	6.192967676	1.654954047	7.40433159	1.24778328	2.554930652	0.780844876	259.4756875	81.26047841	1334.908672	124.6874809	65.83333333	129	71	128.6666667	63.33333334	57.83333334	213.7481792	19.96520255	53.34017789	0.72	83.12870459	16.0506727	22.12343559	60.7088171	1.09	94.30870947	15.97714015	1.18	24.81534956	1.517778342	0.922478852	1.697165015	0.843148674	Surface	7.368639211	1.134490306
11150	1999_10_16	13160	0.13	0.37	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.144	33.63	117.9	16.5115095	5.602755736	9.287423874	1.843570943	6.84678279	1.15642692	2.177264877	0.890968661	176.3737652	81.46637753	940.985764	157.5742966	72.83333333	115	65.5	117.3333333	42.33333334	52	150.6724752	25.23110359	47.4385987	0.82	82.51695659	25.54303354	30.24136107	63.23148494	1.27	91.50382633	27.65622373	1.38	34.3611486	1.595100791	0.925949413	1.530955081	0.907461693	Surface	15.79288623	1.10890937
11182	1999_10_16	14827	0.22	0.6	Ret	Los_Angeles	Rayleigh	7.1	6	34.6	-116.27	5.121	33.92	118.13	16.68441461	5.130227675	7.914416542	2.180356216	9.12454099	1.39136511	2.758658319	0.757270965	251.1737333	70.37979423	1510.623881	113.8316762	69.83333333	117.6666667	71.5	125	48.00000001	53.66666667	241.8840411	18.22694993	61.40731266	1.12	77.77328553	16.68812019	23.98230012	67.90832712	1.15	88.66056496	18.12994717	2.76	28.37626961	1.502355644	0.963933876	2.002473181	0.737223287	Surface	6.501014453	1.139987392
11094	2011_03_11	TKY006	0.21	0.64	Pro	Kanto	Rayleigh	6.1	27	37.42	141.32	5.512	35.7	139.5	16.73045911	7.897638222	6.357182133	2.721626533	4.32796521	1.84145031	2.18483142	1.285971227	482.7347165	300.0979151	1916.79424	664.0520678	94.95	251.4	89.55	262.2	156.6	172.8	306.920831	106.3293118	63.46868033	0.81	76.49880532	28.87172187	43.55297566	66.19697045	0.81	83.16228857	31.22471368	0.94	48.45377585	1.353386402	1.145831452	1.794605547	0.829813316	Body	2.728290115	1.087105717
12080	2011_03_11	KNG005	0.27	0.91	Ret	Kanto	Rayleigh	6.1	27	37.42	141.32	4.729	35.32	139.55	16.76492933	7.694366667	5.2177282	2.117764	3.55511271	1.48957526	1.747090962	1.008704385	359.6722645	217.5981498	1280.603722	426.8856371	106.5	218.25	94.65	209.25	111.9	114.75	205.0527647	68.35376051	68.77543331	2.16	96.25487818	27.68736866	43.41706512	76.81460984	2.23	97.39104184	36.60459311	1.48	55.64711724	1.911801904	0.654563249	1.683385907	0.791685284	Body	8.039176523	1.0118037
12079	2019_07_06	24048	0.18	0.34	Ret	Los_Angeles	Rayleigh	7.1	8	35.77	-117.6	4.457	34.03	118.48	16.99653712	4.50632718	5.232712035	1.842339263	4.37136861	1.35185442	1.720070129	0.726382115	156.315565	74.70491923	628.7112782	112.1215848	91.33333333	129.3333333	74.66666667	133.6666667	38.16666667	59.16666667	100.6704757	17.95312676	55.11055738	1.23	65.76672152	11.73625839	22.00190104	56.50173675	1.22	71.67585773	14.26941879	1.36	24.33052403	1.239843412	1.152002618	1.333817066	1.155780313	Body	1.391179373	1.089849943
